2072,1974,2804,3064,1638,1685,1226,984
2064,1972,2803,3051,1642,1689,1247,1009
2067,1973,2804,3020,1638,1693,1269,1046
2076,1974,2805,3003,1637,1691,1276,1068
2061,1970,2808,2997,1634,1690,1295,1102
2078,1968,2803,3000,1632,1696,1328,1133
2067,1970,2807,2998,1629,1701,1347,1157
2068,1974,2807,3009,1630,1702,1374,1182
2064,1968,2803,3004,1629,1706,1398,1205
2070,1966,2803,2989,1623,1704,1409,1223
2071,1964,2804,2985,1614,1705,1419,1251
2073,1965,2802,3001,1613,1712,1436,1289
2073,1962,2805,3008,1617,1714,1451,1322
2070,1966,2803,3013,1616,1721,1458,1356
2066,1963,2806,3010,1614,1718,1465,1390
2067,1964,2805,3014,1614,1719,1479,1403
2067,1969,2804,3012,1610,1725,1501,1430
2068,1963,2800,3012,1616,1726,1512,1456
2074,1962,2803,3008,1615,1721,1537,1477
2071,1963,2804,3009,1613,1724,1575,1528
2072,1958,2801,3006,1612,1723,1581,1549
2068,1964,2804,3014,1613,1726,1595,1581
2072,1961,2805,3025,1616,1727,1608,1616
2074,1959,2802,3023,1612,1736,1617,1647
2071,1961,2804,3022,1610,1734,1624,1667
2071,1960,2799,3040,1613,1728,1634,1686
2075,1960,2802,3032,1611,1741,1635,1715
2084,1958,2805,3036,1612,1744,1633,1745
2073,1963,2804,3038,1607,1747,1636,1788
2074,1955,2803,3043,1606,1743,1642,1813
2074,1958,2805,3040,1607,1755,1644,1842
2072,1962,2806,3044,1607,1753,1642,1871
2074,1956,2802,3049,1610,1756,1660,1896
2068,1961,2806,3056,1610,1760,1685,1919
2073,1960,2804,3049,1607,1760,1684,1950
2075,1957,2803,3058,1605,1757,1680,1975
2075,1959,2804,3059,1604,1763,1690,2010
2073,1961,2803,3064,1605,1761,1701,2040
2079,1957,2801,3073,1611,1762,1702,2082
2070,1962,2805,3084,1613,1764,1704,2115
2073,1963,2803,3081,1615,1767,1710,2134
2069,1962,2803,3081,1615,1767,1712,2156
2071,1963,2802,3084,1619,1765,1711,2191
2071,1964,2799,3094,1626,1770,1695,2220
2070,1964,2801,3087,1630,1774,1678,2240
2072,1961,2804,3078,1635,1771,1654,2270
2072,1966,2804,3066,1638,1770,1644,2292
2071,1963,2802,3055,1641,1772,1646,2307
2069,1964,2805,3044,1643,1778,1624,2332
2069,1966,2805,3019,1646,1778,1602,2338
2072,1963,2803,3003,1645,1775,1610,2338
2070,1963,2806,2987,1646,1778,1633,2332
2071,1963,2805,2985,1646,1787,1635,2314
2064,1963,2809,2994,1647,1780,1637,2296
2071,1965,2803,3006,1647,1781,1666,2273
2068,1968,2805,3011,1644,1782,1683,2265
2072,1966,2803,3008,1646,1789,1692,2262
2073,1964,2804,3001,1645,1786,1734,2253
2066,1966,2804,3005,1646,1787,1771,2241
2066,1963,2805,3006,1648,1785,1786,2238
2069,1971,2805,3016,1647,1785,1801,2238
2070,1968,2804,3010,1646,1786,1841,2240
2069,1969,2803,3011,1647,1784,1898,2256
2070,1968,2803,3017,1646,1788,1919,2257
2076,1966,2803,3020,1647,1786,1954,2257
2068,1971,2805,3024,1644,1786,1999,2252
2075,1973,2806,3032,1648,1783,2047,2240
2067,1970,2804,3033,1646,1785,2093,2229
2073,1970,2804,3032,1646,1782,2149,2225
2078,1970,2805,3037,1648,1783,2171,2208
2065,1980,2805,3044,1645,1792,2195,2192
2071,1974,2804,3040,1645,1782,2225,2173
2071,1973,2804,3047,1646,1778,2243,2170
2067,1973,2806,3046,1646,1781,2249,2169
2069,1976,2804,3054,1646,1772,2266,2166
2075,1975,2805,3056,1647,1776,2264,2160
